stratum,level,attain_rate,n
SEX_t0,F,0.078,17195
SEX_t0,M,0.074,13658
AGEG_t0,19-29,0.089,3071
AGEG_t0,30-39,0.099,4106
AGEG_t0,40-49,0.071,5930
AGEG_t0,50-59,0.069,5884
AGEG_t0,60-69,0.063,6412
AGEG_t0,70+,0.08,5450
INCQ_t0,Q1,0.086,5124
INCQ_t0,Q2,0.076,6074
INCQ_t0,Q3,0.072,6578
INCQ_t0,Q4,0.077,6415
INCQ_t0,Q5,0.071,6522
EDU_t0,1.0,0.123,636
EDU_t0,2.0,0.086,3852
EDU_t0,3.0,0.069,3358
EDU_t0,4.0,0.07,9628
EDU_t0,5.0,0.077,12145
EDU_t0,6.0,0.075,1234
REGION1_t0,11.0,0.076,2797
REGION1_t0,26.0,0.081,2222
REGION1_t0,27.0,0.064,1147
REGION1_t0,28.0,0.08,1812
REGION1_t0,29.0,0.086,1844
REGION1_t0,30.0,0.063,1284
REGION1_t0,31.0,0.07,1752
REGION1_t0,36.0,0.072,764
REGION1_t0,41.0,0.078,3868
REGION1_t0,42.0,0.066,1087
REGION1_t0,43.0,0.077,2285
REGION1_t0,44.0,0.079,1278
REGION1_t0,45.0,0.066,2166
REGION1_t0,46.0,0.085,1761
REGION1_t0,47.0,0.073,1625
REGION1_t0,48.0,0.08,2673
REGION1_t0,50.0,0.078,488
